"pha","H","e","a","q","i","moid"
N,20.57,0.4015,1.993,1.193,10.87,0.277
N,23.00,0.2306,1.367,1.052,18.37,0.0968
N,27.10,0.5451,2.178,0.991,0.25,0.00125
N,20.12,0.4479,2.25,1.242,9.76,0.247
N,21.80,0.3863,1.86,1.142,27.37,0.213
N,25.50,0.5056,2.02,0.999,8.90,0.0225
N,22.17,0.4778,1.282,0.670,13.94,0.143
N,24.27,0.1359,1.189,1.027,18.08,0.0349
N,24.30,0.5606,2.576,1.132,0.26,0.136
N,24.30,0.1831,1.055,0.862,2.73,0.0151
N,25.40,0.1860,1.246,1.015,21.42,0.0394
N,24.40,0.4218,1.8,1.041,5.80,0.0554
N,27.50,0.3951,1.397,0.845,2.94,0.00132
N,21.19,0.5772,1.76,0.744,19.64,0.0653
N,23.60,0.2439,1.413,1.068,19.55,0.0987
N,23.30,0.6245,2.414,0.907,5.74,0.0154
N,24.50,0.6140,2.534,0.978,0.28,0.00432
N,24.80,0.4015,1.593,0.953,1.73,0.0164
N,22.90,0.5032,2.475,1.230,16.85,0.24
N,27.30,0.5397,2.144,0.987,1.91,0.0066
Y,21.80,0.7393,2.047,0.534,0.87,0.015
N,26.50,0.5875,2.486,1.025,0.92,0.0351
N,19.52,0.5766,2.693,1.140,23.78,0.38
N,24.40,0.3681,1.608,1.016,5.19,0.0193
N,23.60,0.3746,1.698,1.062,4.66,0.0913
N,23.00,0.1447,1.141,0.976,37.15,0.0271
Y,20.26,0.5213,1.821,0.872,10.51,0.0467
N,26.40,0.1161,0.9589,0.848,5.42,0.0257
,20.55,0.5109,2.198,1.075,8.86,
,20.41,0.4466,2.282,1.263,10.52,
N,23.00,0.5686,2.476,1.068,1.83,0.072
N,24.70,0.5067,2.055,1.014,4.93,0.0467
N,22.91,0.5545,2.087,0.930,10.80,0.00708
N,27.90,0.6628,2.425,0.818,0.53,0.00247
N,25.60,0.5928,2.356,0.960,5.50,0.0299
N,20.78,0.5225,1.927,0.920,34.94,0.281
N,22.24,0.2878,1.376,0.980,10.14,0.0172
N,23.00,0.6264,2.938,1.098,6.93,0.131
N,19.84,0.5274,2.639,1.247,11.27,0.33
N,22.60,0.4269,0.7413,0.425,24.59,0.0662
N,26.45,0.2246,0.8912,0.691,0.24,2.87e-05
N,22.80,0.1950,1.477,1.189,30.46,0.206
N,25.10,0.3221,1.391,0.943,13.19,0.0116
N,26.40,0.4101,1.671,0.986,6.61,0.00808
N,21.14,0.3233,1.208,0.817,5.82,0.0971
N,22.60,0.5644,2.325,1.013,6.15,0.0305
N,20.15,0.3439,1.669,1.095,30.13,0.283
N,20.67,0.4790,2.162,1.126,27.92,0.232
N,27.00,0.2326,0.9453,0.725,2.06,0.00102
N,22.00,0.4640,1.963,1.052,18.17,0.172
N,22.40,0.5582,2.321,1.025,5.17,0.0293
N,18.45,0.7188,2.329,0.655,7.53,0.12
N,24.50,0.5489,1.997,0.901,2.88,0.00785
Y,21.18,0.2871,1.083,0.772,25.25,0.0285
N,23.00,0.4482,1.741,0.961,6.79,0.0175
N,24.60,0.5768,2.547,1.078,4.45,0.087
N,23.90,0.2280,1.123,0.867,8.16,0.00823
N,25.20,0.4439,1.078,0.600,1.78,0.0138
Y,21.93,0.5604,2.308,1.015,26.17,0.0426
N,23.70,0.4214,1.778,1.028,21.34,0.0409
N,26.90,0.3765,1.598,0.996,4.40,0.00898
N,27.10,0.4757,1.789,0.938,0.57,0.00182
N,22.90,0.5532,2.411,1.077,7.64,0.0843
Y,21.72,0.5837,2.009,0.836,10.91,0.0236
N,23.00,0.5783,2.314,0.976,13.90,0.0382
N,22.40,0.5189,2.476,1.191,6.87,0.223
N,27.70,0.6201,2.674,1.016,1.23,0.0298
N,29.90,0.7258,2.488,0.682,0.48,0.000129
N,23.50,0.3478,1.555,1.014,22.65,0.105
N,24.90,0.5542,2.294,1.022,4.78,0.0353
N,24.30,0.6276,1.746,0.650,11.09,0.011
N,21.34,0.2941,1.297,0.916,34.25,0.127
N,21.23,0.5755,0.6716,0.285,23.07,0.0653
N,23.00,0.2335,1.511,1.158,15.97,0.182
N,24.90,0.6066,2.467,0.971,10.41,0.0701
N,20.40,0.4906,2.225,1.133,22.14,0.161
N,19.21,0.4078,1.943,1.151,14.79,0.194
N,21.60,0.3980,1.742,1.048,23.52,0.313
N,26.30,0.3247,1.501,1.013,2.26,0.0268
Y,20.70,0.7187,2.493,0.701,7.27,0.00284
N,24.40,0.3905,1.721,1.049,8.50,0.0667
N,22.60,0.3926,1.621,0.985,5.35,0.0315
N,19.40,0.5837,2.639,1.099,10.94,0.168
N,23.91,0.4925,1.797,0.912,0.43,0.00172
N,23.40,0.4102,1.858,1.096,10.56,0.111
N,26.30,0.6658,2.53,0.846,5.36,0.00255
N,22.70,0.5623,2.282,0.999,3.66,0.00924
N,24.30,0.4182,1.758,1.023,21.16,0.0605
N,26.80,0.5903,2.314,0.948,1.15,0.00581
N,18.83,0.4121,2.156,1.268,39.63,0.547
N,23.90,0.5940,2.51,1.019,13.01,0.039
N,17.15,0.5771,3.072,1.299,32.33,0.364
N,24.50,0.6050,1.353,0.534,8.62,0.0198
N,22.80,0.5755,2.821,1.197,10.49,0.214
N,19.89,0.5813,1.877,0.786,58.05,0.152
N,22.20,0.5964,2.293,0.926,2.37,0.0219
N,21.62,0.7118,1.041,0.300,18.39,0.0691
N,24.30,0.4528,1.752,0.959,22.28,0.016
N,23.50,0.5984,1.056,0.424,1.91,0.0119
N,24.20,0.3207,0.9686,0.658,32.70,0.0488
N,25.70,0.4369,1.419,0.799,5.34,0.00125
N,24.50,0.6341,2.405,0.880,0.30,0.00277
N,24.60,0.4432,1.663,0.926,1.20,0.00952
N,20.10,0.5809,2.8,1.173,2.92,0.196
Y,21.42,0.2665,0.8411,0.617,17.22,0.0272
N,20.78,0.3555,1.616,1.041,16.44,0.22
N,23.90,0.3457,1.526,0.998,5.72,0.032
N,18.73,0.6096,3.249,1.268,24.20,0.41
N,24.50,0.4258,1.653,0.949,4.78,0.0219
N,26.90,0.3075,1.062,0.735,5.63,0.00839
N,23.10,0.2522,1.164,0.871,8.34,0.0323
N,19.14,0.3630,1.77,1.128,36.42,0.397
N,25.10,0.3733,0.7595,0.476,12.80,0.0162
N,23.72,0.2733,0.8194,0.595,3.28,0.00486
Y,19.80,0.8409,2.553,0.406,3.01,0.0428
Y,20.00,0.5286,1.695,0.799,17.37,0.00744
N,21.60,0.5860,2.551,1.056,10.92,0.0783
N,23.70,0.5430,2.014,0.920,4.03,0.0249
N,22.32,0.2277,1.28,0.988,2.24,0.0352
N,19.20,0.4355,2.286,1.290,6.95,0.321
N,20.77,0.4615,2.25,1.212,2.31,0.222
N,19.20,0.5477,2.642,1.195,13.54,0.226
N,20.96,0.4473,1.355,0.749,18.45,0.128
N,24.10,0.4410,1.656,0.926,2.57,0.0189
N,24.60,0.2966,0.821,0.577,15.59,0.0144
N,20.85,0.5710,2.616,1.122,27.23,0.321
N,25.26,0.3219,0.7716,0.523,7.71,0.0222
N,24.36,0.2205,1.094,0.853,7.41,0.00488
N,23.90,0.1417,1.29,1.107,11.67,0.162
N,20.69,0.4800,2.409,1.253,6.02,0.267
N,26.80,0.4115,1.717,1.010,8.43,0.0297
N,24.20,0.5742,2.348,1.000,3.06,0.0321
N,23.80,0.3729,1.722,1.080,9.99,0.0975
N,21.50,0.6317,2.458,0.905,22.79,0.228
Y,20.60,0.6364,2.468,0.897,4.71,0.00257
N,24.75,0.3293,1.337,0.897,13.41,0.0429
N,24.40,0.5324,2.286,1.069,14.78,0.0854
N,26.30,0.5622,2.271,0.994,1.42,0.01
N,23.80,0.5507,2.297,1.032,6.71,0.0882
N,23.10,0.5218,2.553,1.221,5.63,0.24
N,26.30,0.4719,1.925,1.016,0.67,0.0321
N,21.07,0.1175,1.465,1.293,18.45,0.364
N,23.20,0.6301,2.653,0.981,8.53,0.0993
N,24.92,0.5939,2.507,1.018,2.76,0.0391
Y,21.80,0.6493,0.9822,0.344,4.16,0.0111
N,20.64,0.4724,2.006,1.058,9.57,0.13
Y,18.41,0.8877,3.333,0.374,35.85,0.0499
N,19.59,0.7941,1.872,0.385,10.14,0.151
N,24.45,0.2473,1.535,1.155,3.45,0.174
N,23.40,0.5685,2.475,1.068,8.71,0.0845
N,24.80,0.3016,1.577,1.101,2.29,0.116
,21.11,0.5807,2.695,1.130,5.39,
N,27.60,0.2178,1.12,0.876,3.55,0.00346
N,19.26,0.8272,1.406,0.243,18.11,0.147
N,23.60,0.3910,1.472,0.896,5.01,0.0122
N,22.50,0.6477,2.868,1.010,9.47,0.0534
N,20.70,0.5971,2.392,0.964,18.73,0.238
N,29.30,0.4034,1.436,0.857,0.34,0.00114
N,23.30,0.5845,2.33,0.968,4.81,0.0624
N,26.50,0.2572,1.347,1.000,4.97,0.0281
N,26.30,0.1078,1.176,1.049,8.24,0.0662
N,26.50,0.4099,1.479,0.872,1.37,0.00439
N,24.60,0.2821,1.14,0.818,4.90,0.00847
N,25.90,0.4546,1.874,1.022,3.17,0.0416
N,24.10,0.3688,1.838,1.160,9.29,0.176
N,24.50,0.4408,1.639,0.916,7.34,0.0151
N,25.10,0.4314,1.227,0.698,6.89,0.00121
N,24.70,0.2982,1.122,0.788,12.23,0.00369
N,25.30,0.5304,1.543,0.724,5.20,0.00254
N,26.60,0.6757,2.469,0.801,2.68,0.000571
N,22.70,0.3662,0.9125,0.578,8.32,0.0723
N,25.80,0.6728,2.683,0.878,6.70,0.00899
N,23.48,0.5094,1.997,0.980,1.58,0.0262
N,23.40,0.4852,2.227,1.147,6.77,0.175
N,29.10,0.2707,1.145,0.835,0.74,0.000288
N,23.70,0.5367,1.977,0.916,5.80,0.0158
Y,21.40,0.6375,1.903,0.690,14.35,0.00878
N,24.50,0.3563,1.396,0.899,12.85,0.0732
Y,21.98,0.4244,1.195,0.688,2.40,0.0237
N,25.70,0.3938,1.699,1.030,3.36,0.0459
N,24.20,0.1283,1.028,0.897,5.91,0.0281
N,24.30,0.3104,1.458,1.005,3.88,0.0275
N,23.00,0.7437,2.586,0.663,1.98,0.000826
N,20.54,0.2517,1.5,1.123,24.44,0.284
N,29.60,0.7989,2.339,0.470,0.96,0.000739
N,26.70,0.1623,1.198,1.003,10.02,0.0186
N,23.90,0.3791,1.267,0.787,42.03,0.0334
N,25.70,0.2869,1.413,1.008,4.69,0.0382
N,27.20,0.6014,1.652,0.658,4.03,0.00139
N,20.11,0.3782,1.958,1.217,5.66,0.237
N,26.50,0.2406,1.287,0.978,5.60,0.047
N,25.40,0.0987,1.023,0.922,1.41,0.00204
N,20.32,0.4574,2.013,1.092,9.09,0.16
Y,20.29,0.6790,2.295,0.737,4.66,0.0247
N,25.80,0.2144,1.082,0.850,5.19,0.0104
N,25.40,0.4128,1.663,0.977,8.15,0.02
Y,21.90,0.4538,1.51,0.825,3.80,0.00866
N,22.40,0.4901,2.23,1.137,6.51,0.159
N,22.80,0.2367,1.346,1.027,2.94,0.0394
N,20.43,0.6754,1.194,0.388,34.82,0.247
N,24.40,0.2702,1.305,0.952,20.88,0.0187
N,25.40,0.3712,1.525,0.959,18.99,0.0574
N,21.30,0.4454,1.707,0.947,7.67,0.1
Y,21.70,0.7010,2.133,0.638,18.31,0.0191
N,21.23,0.6128,2.784,1.078,2.54,0.0805
Y,21.20,0.6626,2.889,0.975,12.89,0.0355
N,19.90,0.4470,1.477,0.817,49.33,0.0921
N,22.50,0.7434,2.486,0.638,4.85,0.00943
N,24.10,0.2120,1.355,1.068,7.07,0.0778
N,24.50,0.2756,1.38,1.000,0.27,0.00416
N,24.70,0.4948,1.993,1.007,4.15,0.0247
N,19.59,0.6146,1.956,0.754,54.75,0.127
N,23.90,0.1678,1.144,0.952,6.28,0.0468
N,18.39,0.5739,2.319,0.988,21.96,0.231
N,21.00,0.4367,2.302,1.297,23.90,0.337
N,24.80,0.4837,1.57,0.810,26.65,0.0241
N,21.02,0.5507,2.599,1.168,10.13,0.194
N,26.50,0.6676,2.291,0.761,8.36,0.000993
N,19.53,0.6981,1.859,0.561,8.52,0.121
N,27.10,0.0530,1.028,0.973,6.30,0.0134
N,26.10,0.6586,2.475,0.845,5.92,0.0141
N,19.75,0.5676,1.911,0.826,8.66,0.127
N,23.90,0.4389,1.99,1.117,4.75,0.128
N,28.53,0.5072,1.903,0.938,1.45,0.00132
N,22.25,0.6699,1.513,0.499,5.43,0.0123
N,19.58,0.7024,2.111,0.628,5.92,0.0988
N,25.30,0.4471,1.969,1.089,6.08,0.104
N,26.70,0.5709,2.27,0.974,1.89,0.0104
N,20.10,0.5146,2.672,1.297,36.41,0.367
N,21.20,0.6481,3.22,1.133,19.62,0.14
N,26.70,0.4971,0.6957,0.350,1.78,0.0007
N,25.80,0.4054,1.455,0.865,6.23,0.0173
N,22.30,0.4655,2.395,1.280,4.66,0.287
N,22.48,0.7294,2.818,0.763,14.49,0.0253
N,19.20,0.6375,3.132,1.135,24.55,0.181
N,22.50,0.7258,1.811,0.496,0.69,0.0037
N,26.62,0.2172,1.137,0.890,7.58,0.000656
N,23.60,0.3890,1.713,1.047,8.82,0.0606
N,20.70,0.6141,2.683,1.035,24.53,0.303
N,23.53,0.4026,1.655,0.988,6.76,0.0288
N,25.00,0.0531,1.106,1.047,21.46,0.0686
N,25.15,0.2776,1.431,1.034,3.95,0.0489
N,23.40,0.5163,2.143,1.037,9.25,0.0451
N,18.58,0.7562,2.388,0.582,10.86,0.18
N,22.92,0.3441,1.265,0.830,13.72,0.0296
N,26.50,0.5696,2.033,0.875,5.50,0.0037
N,22.40,0.0960,1.246,1.127,8.90,0.143
N,22.40,0.4293,2.175,1.242,23.80,0.286
N,23.03,0.5181,1.026,0.494,2.23,0.0137
N,19.35,0.5450,2.436,1.108,14.71,0.103
N,24.30,0.5083,2.094,1.030,3.49,0.0381
N,20.42,0.2876,1.179,0.840,27.71,0.0858
N,25.60,0.4128,1.521,0.893,13.96,0.00908
N,23.10,0.2320,1.37,1.052,9.52,0.107
N,22.80,0.3738,1.379,0.864,13.79,0.0867
N,20.91,0.3321,1.613,1.077,28.21,0.148
N,21.50,0.3045,1.545,1.074,18.78,0.28
N,20.10,0.5178,2.218,1.069,19.00,0.309
N,21.21,0.3749,1.722,1.076,21.12,0.192
N,19.50,0.3593,1.813,1.162,21.22,0.181
N,21.50,0.6176,2.452,0.938,18.04,0.0813
N,24.00,0.5819,2.193,0.917,5.62,0.0362
N,24.10,0.2885,1.133,0.806,0.84,0.00996
Y,20.50,0.8171,1.707,0.312,5.97,0.00914
N,27.80,0.2560,1.08,0.803,3.38,0.00158
N,21.30,0.3613,1.722,1.100,8.66,0.127
N,25.40,0.0747,1.112,1.029,7.84,0.0231
Y,21.77,0.4868,1.71,0.878,3.75,0.016
Y,20.90,0.6015,2.031,0.809,4.02,0.0278
N,26.50,0.1567,1.065,0.898,1.18,0.00439
N,24.30,0.5705,2.399,1.030,6.04,0.0273
N,20.20,0.3374,1.75,1.159,36.10,0.422
N,24.50,0.2058,1.202,0.954,4.28,0.00976
N,20.20,0.6362,3.274,1.191,22.75,0.216
N,24.40,0.5496,1.406,0.633,6.59,0.00265
N,21.88,0.3173,1.084,0.740,10.25,0.143
Y,21.20,0.6031,2.614,1.037,12.02,0.02
N,28.00,0.5757,2.378,1.009,2.33,0.0101
Y,20.20,0.6198,2.561,0.974,1.64,0.00825
N,22.70,0.3712,1.592,1.001,34.86,0.143
N,26.20,0.3115,1.485,1.022,0.98,0.0177
N,24.70,0.2445,1.282,0.969,5.94,0.00375
N,23.60,0.2612,0.8487,0.627,16.43,0.0316
N,24.40,0.1897,1.234,1.000,5.57,0.0189
N,19.54,0.6314,2.575,0.949,25.63,0.238
N,24.00,0.3245,1.365,0.922,23.85,0.0304
Y,20.41,0.5190,2.146,1.032,7.12,0.0476
N,25.33,0.4941,1.8,0.911,0.20,0.0017
N,20.80,0.5626,2.687,1.175,26.14,0.172
N,23.90,0.7557,1.776,0.434,14.96,0.0124
N,25.10,0.6689,2.38,0.788,8.25,0.0121
N,23.60,0.3172,1.696,1.158,18.75,0.152
N,23.70,0.4886,2.03,1.038,9.20,0.0318
N,20.50,0.3218,1.705,1.156,17.17,0.157
N,25.20,0.7964,2.016,0.410,3.67,0.0056
N,28.40,0.0832,1.01,0.926,1.44,0.000261
N,24.50,0.4020,1.751,1.047,1.79,0.0544
N,19.40,0.4285,2.124,1.214,7.59,0.228
N,20.01,0.5955,2.635,1.066,5.32,0.108
N,19.95,0.4339,2.138,1.210,7.20,0.224
N,19.37,0.5618,1.633,0.716,31.00,0.0693
N,22.20,0.4735,1.221,0.643,14.47,0.0306
N,19.48,0.4938,2.188,1.107,19.45,0.262
N,24.40,0.6819,2.467,0.785,0.38,0.00497
N,20.68,0.5014,2.149,1.071,6.77,0.128
Y,21.90,0.1753,1.244,1.026,9.61,0.0486
N,25.41,0.3147,1.47,1.008,3.65,0.0233
Y,20.59,0.8704,2.727,0.353,12.45,0.0266
N,23.60,0.5192,2.063,0.992,5.04,0.0559
N,23.90,0.4561,1.431,0.778,28.71,0.0223
N,23.20,0.5292,1.668,0.785,8.82,0.0266
Y,18.58,0.5136,2.016,0.981,21.11,0.0329
N,23.00,0.5355,2.074,0.963,3.04,0.0225
N,23.90,0.5454,2.383,1.084,2.99,0.086
N,22.66,0.1840,1.036,0.845,17.94,0.0999
N,18.64,0.5384,2.76,1.274,13.74,0.273
N,23.60,0.2753,1.598,1.158,3.05,0.146
Y,21.49,0.5299,1.785,0.839,5.81,0.0239
N,20.24,0.3713,1.892,1.189,24.47,0.319
N,22.50,0.4627,2.13,1.145,8.13,0.143
N,25.50,0.2851,1.449,1.036,0.35,0.0251
N,21.28,0.2520,1.44,1.077,20.22,0.0638
N,18.58,0.8479,1.697,0.258,10.86,0.0632
N,23.80,0.3234,1.678,1.135,6.96,0.122
N,23.10,0.3578,1.482,0.952,11.77,0.0306
N,23.50,0.1007,1.231,1.107,24.55,0.0942
N,18.75,0.6519,2.145,0.747,7.97,0.121
N,24.80,0.3159,1.085,0.742,7.82,0.00863
Y,19.70,0.6381,2.859,1.035,10.17,0.0343
N,25.00,0.4326,1.712,0.971,6.66,0.00754
Y,20.90,0.7015,2.316,0.691,5.95,0.0167
N,22.60,0.0830,1.114,1.021,14.43,0.0607
N,26.80,0.2420,1.317,0.998,4.27,0.00634
N,22.20,0.4340,2.052,1.161,3.09,0.152
N,19.20,0.5767,2.629,1.113,21.57,0.0975
N,19.56,0.5511,2.804,1.259,6.10,0.244
N,22.05,0.1557,1.246,1.052,13.35,0.124
N,20.29,0.6097,1.263,0.493,45.05,0.194
N,21.50,0.4907,2.121,1.080,7.43,0.0809
N,25.40,0.1143,1.033,0.915,19.53,0.0027
N,22.30,0.2652,1.382,1.015,35.73,0.1
N,21.60,0.3872,1.741,1.067,33.30,0.104
Y,21.30,0.6088,2.555,0.999,3.50,0.0334
N,27.10,0.5188,1.678,0.807,12.18,0.00119
N,21.28,0.2641,1.605,1.181,18.53,0.172
N,23.60,0.5355,2.371,1.101,2.93,0.0954
N,21.70,0.4287,1.019,0.582,17.24,0.12
N,19.50,0.5408,2.675,1.228,10.30,0.256
N,19.17,0.5375,2.756,1.275,10.17,0.266
N,19.10,0.5762,2.7,1.144,15.34,0.155
N,23.90,0.5105,2.107,1.032,6.59,0.0313
N,22.70,0.5261,2.198,1.041,11.03,0.0405
N,19.83,0.7782,1.535,0.341,10.39,0.0904
N,18.44,0.9063,2.741,0.257,19.24,0.0889
N,20.02,0.1820,1.124,0.920,14.56,0.0608
N,24.90,0.3584,1.651,1.059,2.48,0.0461
N,19.82,0.6303,2.542,0.940,17.13,0.194
Y,19.83,0.5502,2.034,0.915,2.43,0.0299
N,19.20,0.5929,3.012,1.226,15.34,0.368
N,19.57,0.8755,2.191,0.273,14.54,0.13
N,23.20,0.6222,2.769,1.046,5.31,0.0598
N,23.80,0.4543,2.124,1.159,5.99,0.147
N,21.37,0.3425,1.898,1.248,1.73,0.249
Y,19.71,0.2842,0.8037,0.575,3.45,0.0334
N,21.05,0.6118,1.177,0.457,24.69,0.0988
N,24.02,0.5896,2.565,1.053,14.70,0.0498
N,20.89,0.3076,1.794,1.242,40.20,0.232
N,24.00,0.5722,2.121,0.907,2.62,0.00626
N,25.90,0.0456,0.9851,0.940,2.80,0.0145
N,22.70,0.7700,2.552,0.587,2.42,0.034
N,23.90,0.4803,2.116,1.100,5.90,0.101
N,22.00,0.6810,2.617,0.835,5.07,0.047
N,20.90,0.5656,1.955,0.849,20.98,0.0932
N,25.50,0.2246,1.193,0.925,1.07,1.18e-05
N,19.12,0.5693,2.62,1.128,5.09,0.124
N,27.60,0.7336,2.624,0.699,1.49,0.00107
N,23.80,0.5981,2.488,1.000,11.75,0.00844
Y,20.30,0.6420,2.466,0.883,9.01,0.0106
Y,21.80,0.5177,1.949,0.940,9.57,0.0245
N,27.20,0.0811,1.086,0.998,11.79,0.0119
N,20.79,0.7576,2.204,0.534,10.76,0.0627
N,23.70,0.5817,1.832,0.766,1.87,0.00115
N,29.50,0.0245,1.033,1.008,0.59,0.0168
N,25.80,0.1982,1.151,0.923,16.15,0.00971
N,25.10,0.3501,1.113,0.723,10.43,0.000507
N,23.10,0.2930,1.445,1.021,4.83,0.0359
N,22.00,0.1524,1.043,0.884,7.56,0.106
N,22.97,0.3456,0.8051,0.527,4.82,0.0362
N,22.41,0.2133,1.046,0.823,24.52,0.0431
N,22.84,0.5617,1.043,0.457,4.76,0.0186
N,19.86,0.5429,2.484,1.135,5.09,0.151
N,24.22,0.2930,0.881,0.623,4.59,0.0458
N,23.20,0.5143,2.353,1.143,6.24,0.141
N,21.90,0.5514,2.817,1.264,2.87,0.268
N,18.95,0.5791,2.79,1.174,11.70,0.193
N,24.00,0.4678,1.915,1.019,1.45,0.0158
N,26.10,0.2638,1.379,1.016,0.35,0.0141
N,21.75,0.3287,0.9215,0.619,32.41,0.0605
N,20.84,0.5689,2.832,1.221,7.62,0.233
N,26.50,0.4628,1.817,0.976,2.14,0.00263
N,19.04,0.5605,1.879,0.826,17.35,0.165
N,20.11,0.5604,2.162,0.950,20.05,0.229
N,18.73,0.5911,3.176,1.299,3.79,0.313
N,26.30,0.5206,2.123,1.018,6.09,0.0153
N,25.30,0.3091,1.123,0.776,20.09,0.0303
N,22.60,0.3055,1.722,1.196,12.85,0.195
N,28.00,0.3378,1.354,0.897,0.63,0.000779
N,25.70,0.3817,1.625,1.005,4.73,0.0127
N,21.53,0.3166,1.47,1.004,32.88,0.251
N,24.70,0.2508,1.243,0.931,10.10,0.0389
N,23.10,0.4624,1.883,1.012,1.59,0.0268
Y,21.50,0.4421,1.172,0.654,19.53,0.0291
N,21.80,0.4308,2.237,1.273,7.65,0.28
N,21.60,0.5355,2.366,1.099,11.12,0.0988
N,26.10,0.5117,1.257,0.614,1.60,0.00515
N,24.19,0.8632,1.927,0.264,9.77,0.00226
N,21.50,0.5647,2.961,1.289,6.83,0.315
N,25.30,0.1739,0.9852,0.814,2.64,0.0252
N,24.50,0.3474,1.314,0.858,0.87,0.00457
N,21.75,0.4403,1.929,1.080,6.60,0.124
N,25.66,0.2640,1.338,0.985,3.03,0.00786
N,19.70,0.5117,2.589,1.264,9.74,0.294
N,22.40,0.3946,1.593,0.965,8.19,0.0191
N,25.90,0.5636,2.344,1.023,3.50,0.022
N,23.90,0.3975,0.9404,0.567,11.61,0.0453
N,23.20,0.5144,2.419,1.175,4.72,0.186
N,21.16,0.3611,1.893,1.209,2.42,0.222
N,20.50,0.6012,2.571,1.025,5.12,0.0751
N,23.70,0.1994,1.252,1.002,21.27,0.0167
N,24.20,0.4226,1.783,1.030,11.70,0.0379
N,25.10,0.3785,1.329,0.826,2.87,0.00748
N,19.50,0.5606,2.863,1.258,12.93,0.335
Y,20.90,0.6944,2.994,0.915,21.74,0.00521
N,20.12,0.7615,2.154,0.514,31.52,0.122
N,21.57,0.4319,2.117,1.203,2.39,0.195
N,20.29,0.4463,2.33,1.290,5.30,0.323
N,22.40,0.5657,2.826,1.228,4.93,0.234
N,22.30,0.5293,2.457,1.157,6.95,0.172
N,23.90,0.4893,2.212,1.130,5.32,0.131
N,26.10,0.2687,1.401,1.025,7.27,0.0317
N,25.50,0.3305,1.549,1.037,0.49,0.0437
Y,21.22,0.6685,2.819,0.934,2.29,0.0295
N,19.41,0.4485,2.019,1.113,5.32,0.133
N,21.21,0.3974,1.722,1.038,20.48,0.26
N,24.50,0.5248,2.156,1.025,3.20,0.0288
N,23.80,0.2872,1.373,0.979,21.94,0.101
N,26.30,0.1037,1.14,1.022,1.99,0.0279
N,18.47,0.6553,3.204,1.105,16.87,0.151
N,21.95,0.3324,1.176,0.785,12.13,0.0571
Y,21.60,0.8121,2.476,0.465,3.72,0.0254
Y,21.90,0.3810,1.624,1.005,1.74,0.0218
N,24.20,0.5422,2.345,1.074,2.04,0.0909
N,26.60,0.5843,2.336,0.971,2.89,0.00589
N,20.29,0.4857,2.281,1.173,23.84,0.33
N,24.90,0.6965,2.012,0.611,6.07,0.00302
N,20.20,0.7921,2.11,0.439,29.91,0.149
N,28.00,0.3844,1.32,0.813,7.86,0.00041
N,23.45,0.3971,1.526,0.920,4.30,0.0117
N,24.50,0.4894,2.29,1.169,1.05,0.175
N,21.51,0.6033,1.228,0.487,33.79,0.133
N,25.10,0.3944,1.742,1.055,11.41,0.0707
N,27.90,0.5781,1.691,0.713,0.86,0.000631
N,23.10,0.4597,1.383,0.747,9.36,0.0136
N,25.50,0.2065,0.8889,0.705,14.26,0.00822
N,23.60,0.3158,1.456,0.996,6.73,0.0145
N,18.94,0.6149,3.225,1.242,11.81,0.26
N,27.30,0.1626,1.104,0.924,0.47,0.00126
N,18.98,0.6681,1.492,0.495,41.13,0.255
N,24.90,0.4905,1.204,0.614,1.52,0.00109
N,19.84,0.6084,2.746,1.075,17.60,0.194
N,25.10,0.4249,1.73,0.995,8.70,0.0382
N,21.90,0.2017,1.469,1.172,17.38,0.185
N,20.90,0.4838,2.505,1.293,24.52,0.315
N,19.83,0.7867,1.781,0.380,15.81,0.231
N,21.10,0.4223,2.101,1.214,27.75,0.266
N,19.16,0.5945,2.585,1.048,8.92,0.127
N,26.00,0.5487,2.318,1.046,2.17,0.0538
N,24.78,0.2907,0.9344,0.663,9.81,0.0231
N,22.75,0.3763,0.8924,0.557,14.51,0.0753
N,19.72,0.6003,2.485,0.993,36.54,0.0761
N,26.60,0.5364,1.874,0.869,3.83,0.00503
N,23.20,0.2510,1.322,0.990,24.45,0.0123
Y,21.46,0.3034,0.8176,0.570,5.86,0.0456
N,23.60,0.1429,1.178,1.010,11.10,0.0682
Y,20.80,0.6246,2.582,0.969,2.11,0.011
N,24.70,0.1648,1.223,1.021,12.48,0.0337
N,23.18,0.1765,0.8541,0.703,4.90,0.00354
N,27.20,0.5336,1.532,0.714,2.15,0.00185
N,25.10,0.6047,2.482,0.981,8.72,0.00221
N,28.20,0.6067,1.707,0.671,5.90,0.000708
Y,20.12,0.6009,2.472,0.987,13.69,0.00458
N,22.80,0.5094,2.254,1.106,7.48,0.143
N,25.90,0.2883,0.8286,0.590,5.57,0.011
N,22.30,0.1973,1.222,0.981,23.93,0.023
N,24.40,0.2454,1.372,1.035,19.73,0.0478
N,20.28,0.3028,1.647,1.148,18.63,0.277
N,23.38,0.5481,1.982,0.896,2.01,0.00305
N,19.84,0.5028,1.804,0.897,26.03,0.0759
N,23.40,0.3392,1.356,0.896,7.43,0.0235
N,22.30,0.6341,2.71,0.991,14.72,0.121
N,22.80,0.6370,2.386,0.866,2.72,0.0105
N,20.28,0.5778,1.746,0.737,3.82,0.0618
N,24.10,0.5548,2.391,1.065,11.99,0.0891
